note,start_time,end_time,duration,velocity
51,1753856420.5315747,1753856420.6070538,0.07547903060913086,57
56,1753856421.2081387,1753856421.3585432,0.1504044532775879,18
57,1753856421.8669186,1753856422.010122,0.1432034969329834,64
55,1753856421.8669186,1753856422.0458772,0.17895865440368652,56
55,1753856422.4125893,1753856422.5614667,0.14887738227844238,55
50,1753856422.8671327,1753856422.9826348,0.11550211906433105,42
48,1753856423.2480042,1753856423.3633652,0.11536097526550293,36
52,1753856423.2480042,1753856423.3633652,0.11536097526550293,43
50,1753856423.2480042,1753856423.3633652,0.11536097526550293,43
47,1753856423.702249,1753856423.815122,0.11287283897399902,25
48,1753856423.702249,1753856423.8538752,0.1516261100769043,40
43,1753856424.351144,1753856424.4639518,0.1128077507019043,6
41,1753856424.351144,1753856424.4639518,0.1128077507019043,31
40,1753856424.9421391,1753856425.018145,0.07600593566894531,33
38,1753856424.8653147,1753856425.0559888,0.1906740665435791,42
67,1753856435.7229311,1753856436.068083,0.3451519012451172,40
69,1753856436.3348777,1753856436.5203624,0.1854846477508545,50
67,1753856438.2059574,1753856438.3979785,0.19202113151550293,48
69,1753856438.7036934,1753856439.8087819,1.105088472366333,61
74,1753856565.0535023,1753856565.2071576,0.1536552906036377,36
